iter: 1, iterW: 1, iterH: 0
iter: 75, iterW: 44, iterH: 40
iter: 76, iterW: 55, iterH: 30
iter: 77, iterW: 46, iterH: 54
iter: 78, iterW: 52, iterH: 6
iter: 79, iterW: 46, iterH: 200
iter: 80, iterW: 48, iterH: 168
iter: 81, iterW: 62, iterH: 147
iter: 82, iterW: 70, iterH: 134
iter: 83, iterW: 41, iterH: 126
iter: 84, iterW: 42, iterH: 119
iter: 85, iterW: 63, iterH: 117
iter: 86, iterW: 86, iterH: 115
iter: 87, iterW: 62, iterH: 109
iter: 88, iterW: 121, iterH: 108
iter: 89, iterW: 54, iterH: 101
iter: 90, iterW: 116, iterH: 91
iter: 91, iterW: 84, iterH: 93
iter: 92, iterW: 79, iterH: 86
iter: 93, iterW: 90, iterH: 90
iter: 94, iterW: 73, iterH: 83
iter: 95, iterW: 43, iterH: 81
iter: 96, iterW: 54, iterH: 79
iter: 97, iterW: 79, iterH: 75
iter: 98, iterW: 107, iterH: 72
iter: 99, iterW: 49, iterH: 83
iter: 100, iterW: 74, iterH: 75
iter: 101, iterW: 92, iterH: 69
iter: 102, iterW: 76, iterH: 74
iter: 103, iterW: 106, iterH: 66
iter: 104, iterW: 58, iterH: 68
iter: 105, iterW: 70, iterH: 64
iter: 106, iterW: 73, iterH: 62
iter: 107, iterW: 60, iterH: 71
iter: 108, iterW: 66, iterH: 61
iter: 109, iterW: 67, iterH: 73
iter: 110, iterW: 60, iterH: 59
iter: 111, iterW: 61, iterH: 63
iter: 112, iterW: 40, iterH: 59
iter: 113, iterW: 44, iterH: 56
iter: 114, iterW: 60, iterH: 58
iter: 115, iterW: 57, iterH: 61
iter: 116, iterW: 49, iterH: 55
iter: 117, iterW: 45, iterH: 51
iter: 118, iterW: 46, iterH: 48
iter: 119, iterW: 62, iterH: 47
iter: 120, iterW: 67, iterH: 50
iter: 121, iterW: 49, iterH: 46
iter: 122, iterW: 46, iterH: 52
iter: 123, iterW: 41, iterH: 45
iter: 124, iterW: 57, iterH: 50
iter: 125, iterW: 55, iterH: 44
iter: 126, iterW: 42, iterH: 39
iter: 127, iterW: 61, iterH: 39
iter: 128, iterW: 56, iterH: 43
iter: 129, iterW: 72, iterH: 47
iter: 130, iterW: 76, iterH: 40
iter: 131, iterW: 48, iterH: 51
iter: 132, iterW: 57, iterH: 40
iter: 133, iterW: 52, iterH: 46
iter: 134, iterW: 83, iterH: 35
iter: 135, iterW: 68, iterH: 34
iter: 136, iterW: 84, iterH: 37
iter: 137, iterW: 74, iterH: 46
iter: 138, iterW: 79, iterH: 45
iter: 139, iterW: 57, iterH: 41
iter: 140, iterW: 50, iterH: 40
iter: 141, iterW: 35, iterH: 37
iter: 142, iterW: 38, iterH: 35
iter: 143, iterW: 48, iterH: 41
iter: 144, iterW: 36, iterH: 36
iter: 145, iterW: 61, iterH: 34
iter: 146, iterW: 57, iterH: 34
iter: 147, iterW: 40, iterH: 31
iter: 148, iterW: 47, iterH: 34
iter: 149, iterW: 35, iterH: 32
iter: 150, iterW: 38, iterH: 34
iter: 151, iterW: 37, iterH: 32
iter: 152, iterW: 49, iterH: 34
iter: 153, iterW: 58, iterH: 25
iter: 154, iterW: 51, iterH: 36
iter: 155, iterW: 49, iterH: 25
iter: 156, iterW: 41, iterH: 25
iter: 157, iterW: 33, iterH: 27
iter: 158, iterW: 50, iterH: 30
iter: 159, iterW: 47, iterH: 27
iter: 160, iterW: 51, iterH: 27
iter: 161, iterW: 58, iterH: 31
iter: 162, iterW: 30, iterH: 31
iter: 163, iterW: 33, iterH: 31
iter: 164, iterW: 42, iterH: 26
iter: 165, iterW: 36, iterH: 27
iter: 166, iterW: 29, iterH: 29
iter: 167, iterW: 74, iterH: 27
iter: 168, iterW: 55, iterH: 25
iter: 169, iterW: 32, iterH: 25
iter: 170, iterW: 37, iterH: 30
iter: 171, iterW: 61, iterH: 25
iter: 172, iterW: 47, iterH: 25
iter: 173, iterW: 51, iterH: 21
iter: 174, iterW: 48, iterH: 26
iter: 175, iterW: 35, iterH: 22
iter: 176, iterW: 58, iterH: 30
iter: 177, iterW: 44, iterH: 21
iter: 178, iterW: 56, iterH: 21
iter: 179, iterW: 63, iterH: 25
iter: 180, iterW: 43, iterH: 25
iter: 181, iterW: 36, iterH: 25
iter: 182, iterW: 63, iterH: 29
iter: 183, iterW: 35, iterH: 20
iter: 184, iterW: 29, iterH: 20
iter: 185, iterW: 34, iterH: 19
iter: 186, iterW: 39, iterH: 20
iter: 187, iterW: 33, iterH: 19
iter: 188, iterW: 32, iterH: 19
iter: 189, iterW: 39, iterH: 19
iter: 190, iterW: 44, iterH: 21
iter: 191, iterW: 43, iterH: 22
iter: 192, iterW: 51, iterH: 25
iter: 193, iterW: 29, iterH: 21
iter: 194, iterW: 42, iterH: 15
iter: 195, iterW: 41, iterH: 26
iter: 196, iterW: 44, iterH: 18
iter: 197, iterW: 29, iterH: 18
iter: 198, iterW: 20, iterH: 17
iter: 199, iterW: 29, iterH: 17
iter: 200, iterW: 34, iterH: 21
iter: 201, iterW: 43, iterH: 20
iter: 202, iterW: 34, iterH: 21
iter: 203, iterW: 25, iterH: 17
iter: 204, iterW: 47, iterH: 21
iter: 205, iterW: 28, iterH: 16
iter: 206, iterW: 29, iterH: 17
iter: 207, iterW: 31, iterH: 16
iter: 208, iterW: 35, iterH: 16
iter: 209, iterW: 32, iterH: 20
iter: 210, iterW: 31, iterH: 16
iter: 211, iterW: 33, iterH: 16
iter: 212, iterW: 39, iterH: 12
iter: 213, iterW: 42, iterH: 19
iter: 214, iterW: 35, iterH: 21
iter: 215, iterW: 42, iterH: 17
iter: 216, iterW: 41, iterH: 16
iter: 217, iterW: 44, iterH: 15
iter: 218, iterW: 41, iterH: 13
iter: 219, iterW: 23, iterH: 20
iter: 220, iterW: 27, iterH: 15
iter: 221, iterW: 22, iterH: 15
iter: 222, iterW: 39, iterH: 18
iter: 223, iterW: 32, iterH: 17
iter: 224, iterW: 40, iterH: 12
iter: 225, iterW: 22, iterH: 15
iter: 226, iterW: 40, iterH: 15
iter: 227, iterW: 32, iterH: 12
iter: 228, iterW: 26, iterH: 12
iter: 229, iterW: 24, iterH: 8
iter: 230, iterW: 39, iterH: 84
iter: 231, iterW: 29, iterH: 57
iter: 232, iterW: 42, iterH: 67
iter: 233, iterW: 40, iterH: 60
iter: 234, iterW: 25, iterH: 69
iter: 235, iterW: 31, iterH: 51
iter: 236, iterW: 31, iterH: 54
iter: 237, iterW: 28, iterH: 52
iter: 238, iterW: 35, iterH: 54
iter: 239, iterW: 40, iterH: 57
iter: 240, iterW: 33, iterH: 57
iter: 241, iterW: 35, iterH: 56
iter: 242, iterW: 36, iterH: 60
iter: 243, iterW: 23, iterH: 44
iter: 244, iterW: 29, iterH: 47
iter: 245, iterW: 34, iterH: 58
iter: 246, iterW: 34, iterH: 58
iter: 247, iterW: 23, iterH: 68
iter: 248, iterW: 43, iterH: 57
iter: 249, iterW: 37, iterH: 49
iter: 250, iterW: 37, iterH: 60
iter: 251, iterW: 31, iterH: 60
iter: 252, iterW: 36, iterH: 47
